"","Time","Prey","startN","mL","mQ","implicitMortality","TotalPredMort","PRM","species","predation.mortality"
"161","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BMD",0
"162","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BMD",0
"163","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BMD",0
"164","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BMD",0
"165","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BML",0
"166","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BML",0
"167","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BML",0
"168","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BML",0
"169","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BMS",0
"170","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BMS",0
"171","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BMS",0
"172","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BMS",0
"173","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","PWN",1.004059e-09
"174","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","PWN",0
"175","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","PWN",4.931905e-10
"176","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","PWN",0
"177","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","ZL",1.255936e-06
"178","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","ZL",0
"179","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","ZL",5.4812e-05
"180","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","ZL",0
"181","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BD",0
"182","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BD",0
"183","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BD",0
"184","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BD",0
"185","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","MA",0
"186","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","MA",0
"187","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","MA",0
"188","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","MA",0
"189","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","MB",0
"190","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","MB",0
"191","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","MB",0
"192","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","MB",0
"193","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","SG",0
"194","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","SG",0
"195","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","SG",0
"196","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","SG",0
"197","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BC",0
"198","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BC",0
"199","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BC",0
"200","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BC",0
"201","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","ZG",7.295758e-08
"202","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","ZG",0
"203","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","ZG",6.562281e-06
"204","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","ZG",0
"205","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","PL",0
"206","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","PL",0
"207","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","PL",0
"208","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","PL",0
"209","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","PS",0
"210","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","PS",0
"211","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","PS",0
"212","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","PS",0
